카드이름,카드혜택,연회비,전월실적
CJ ONE 우리카드 체크,"올리브영
3천원 캐시백
CGV
3천원 캐시백
인천공항라운지
무료 이용서비스",국내전용 없음 / 해외겸용 없음,전월실적 20만원 이상
카드의정석 POINT CHECK x 아기상어,"모아포인트
1.5~0.3% 적립
간편결제
1.5% 추가적립
롯데월드 아쿠아리움/놀이공원
50% 현장할인",국내전용 없음 / 해외겸용 없음,전월실적 30만원 이상
카드의정석 APT CHECK,"아파트관리비
최대1만원 캐시백
유튜브정기권
30% 캐시백","국내전용 9,000원 / 해외겸용 9,000원",전월실적 30만원 이상
카카오페이 체크카드,"카카오페이 가맹점
5% 캐쉬백
온라인쇼핑몰
5% 캐쉬백
편의점/드럭스토어
5% 캐쉬백",국내전용 없음 / 해외겸용 없음,전월실적 20만원 이상
New 현대백화점 체크카드,"현대백화점
5% 할인
현대아울렛
5% 할인
진에어
5% 할인",해외겸용 없음,전월실적 20만원 이상
카드의정석 POINT CHECK,"모아포인트
1.5~0.3% 적립
간편결제
1.5% 추가적립
롯데월드 아쿠아리움/놀이공원
50% 현장할인",국내전용 없음 / 해외겸용 없음,전월실적 30만원 이상
카드의정석 CREAM TEENS CHECK,"편의점 건당
1,000원 캐시백
서점 건당
1,000원 캐시백
베이커리/패스트푸드 건당
1,000원 캐시백",국내전용 없음,전월실적 10만원 이상
국민행복 체크카드 S2,"의료(임신·출산)
3% 캐시백
학습지/학원/서점
3% 캐시백
영상/음원서비스
10% 캐시백",국내전용 없음 / 해외겸용 없음,전월실적 30만원 이상
카드의 정석 SSO3 NEW-TRO CHECK,"저녁 음식점/배달앱
5% 캐시백
대형마트/편의점
5% 캐시백
택시/버스/지하철
5% 캐시백",국내전용 없음 / 해외겸용 없음,전월실적 30만원 이상
OK캐쉬백 썸(SUM)타는 우리체크카드,"G마켓,옥션
10% 할인
스타벅스
20% 할인
버거,피자
10% 할인",국내전용 없음 / 해외겸용 없음,전월실적 25만원 이상
배달의민족 비장의카드 V.2,"배달의민족
1,100원 캐시백
온라인쇼핑
10% 캐시백
대중교통
2,000원 캐시백","국내전용 3,000원 / 해외겸용 3,000원",전월실적 30만원 이상
카드의정석 L.POINT CHECK,"L.POINT
1~0.3% 적립
롯데가맹점
1~0.5% 추가적립
주요 테마파크
50% 현장할인",국내전용 없음 / 해외겸용 없음,전월실적 30만원 이상
우리V외국인체크카드,"외환 환전 송금
최대 50% 환율 우대
CGV
최대 4천원 청구할인
대형마트
5% 청구할인",국내전용 없음,전월실적 없음
갤러리아 체크카드,"갤러리아
5% 할인
업종별
0.3~1.5% 적립
해외가맹점
1% 캐시백",해외겸용 없음,전월실적 30만원 이상
Voluntas 자원봉사자 우리체크,"편의점
1천원 캐시백
베이커리/패스트푸드
1천원 캐시백
대중교통
2천원 캐시백",해외겸용 없음,전월실적 없음
롯데마트 라서 즐거운 체크카드,"롯데마트
10% 할인
영화관
3,000원 할인
커피전문점
20% 할인",해외겸용 없음,전월실적 30만원 이상
우리 아이행복체크카드,"병원/약국
5% 할인
커피전문점
20% 할인
대중교통
5% 할인",해외겸용 없음,전월실적 30만원 이상
카드의정석 POINT CHECK x 핑크퐁,"모아포인트
1.5~0.3% 적립
간편결제
1.5% 추가적립
롯데월드 아쿠아리움/놀이공원
50% 현장할인",국내전용 없음 / 해외겸용 없음,전월실적 30만원 이상
해피포인트 우리체크 V.2,"해피오더, 해피마켓, 해피페이
10% 적립
사용횟수에 따라 최대
21,000P 적립
해외 이용금액
1% 적립",국내전용 없음 / 해외겸용 없음,전월실적 없음
라떼 우리체크카드,"커피전문점
1,000원 할인
최대할인한도
15,000원 까지","국내전용 2,000원",전월실적 25만원 이상
우리국민행복체크카드,"A-TYPE
의료/쇼핑 할인
B-TYPE
육아/교육 할인
C-TYPE
에코머니 적립",국내전용 없음,전월실적 30만원 이상
우리성당 체크카드,"대중교통
1,500원 할인
병원,약국
5% 할인
영화
3천원 할인",해외겸용 없음,전월실적 30만원 이상
해피포인트 우리체크카드,"해피포인트 가맹점
5% 적립
해피포인트 가맹점
20% 캐시백 할인
대형마트/아울렛
5% 할인",국내전용 없음,전월실적 20만원 이상
우리 YG 체크카드,"YG공연/온라인몰
10% 할인
스타벅스/투썸
20% 할인
아웃백/TGIF
10% 할인",해외겸용 없음,전월실적 30만원 이상
LGU+ 라서즐거운 체크카드,"LG U+ 최대
5천원 할인
패밀리레스토랑
10% 할인
커피
10% 할인",해외겸용 없음,전월실적 30만원 이상
위메프 우리체크,"위메프
5% 적립
스타벅스
30% 캐시백할인
편의점
5% 캐시백할인","국내전용 3,000원 / 해외겸용 5,000원",전월실적 20만원 이상
카드의정석 U+알뜰모바일 CHECK,"(30만원 이상) U+알뜰모바일
2천원 캐시백
(80만원 이상) U+알뜰모바일
4천원 캐시백
(120만원 이상) U+알뜰모바일
7천원 캐시백",국내전용 없음 / 해외겸용 없음,전월실적 30만원 이상
AK우리카드 체크,"AK플라자
할인 서비스
국내가맹점
0.1% 적립
놀이공원
50% 할인","국내전용 3,000원 / 해외겸용 3,000원",전월실적 30만원 이상
한화생명 Family 체크카드,"SK주유소
40원/L 할인
버스,지하철
1천원 할인
휴대폰요금
3% 할인",국내전용 없음,전월실적 20만원 이상
올바른 FLEX 카드,"커피
50% 할인
스트리밍
20% 할인
영화
30% 할인","국내전용 10,000원 / 해외겸용 12,000원",전월실적 30만원 이상
NH올원 파이카드,"온라인쇼핑
7~20% 할인
주유/통신/해외 등
선택업종 할인
생활영역
5~20% 할인","국내전용10,000원 / 해외겸용 12,000원",전월실적 30만원 이상
별다줄카드,"쇼핑 최대
14% 할인
통신
5% 할인
커피
5% 할인","국내전용 12,000원 / 해외겸용 14,000원",전월실적 30만원 이상
올바른 NEW HAVE카드,"국내외가맹점
0.7% 적립
이용금액 1위
3배 적립
공항라운지
무료 이용","국내전용 12,000원 / 해외겸용 12,000원",전월실적 없음
NH올원 Shopping&11번가카드(R2타입),"11번가
11~22% 할인
기타 온라인쇼핑
7% 할인
마트/병원/주유 등
5~10% 할인","국내전용 8,000원 / 해외겸용 10,000원",전월실적 30만원 이상
zgm.the pay카드,"국내 전 가맹점
1.0% 청구 할인
해외 전 가맹점
1.0% 청구 할인
온라인 간편결제
최대 1.7% 청구 할인","국내전용 12,000원 / 해외겸용 12,000원",전월실적 없음
NH20 해봄카드,"인천공항라운지
연 2회 무료
전국 놀이공원
50% 할인
온라인 쇼핑몰
10% 할인","해외겸용 8,000원",전월실적 30만원 이상
올바른 POINT UP 카드,"기본
0.7% 적립
최대
1.0% 추가적립
국제공항
라운지 무료이용","해외겸용 12,000원",전월실적 40만원 이상
NH올원 All100(올백)카드,"백화점
10% 적립
대형마트
10% 적립
병원/약국/동물병원
10% 적립","국내전용 8,000원 / 해외겸용 8,000원",전월실적 30만원 이상
zgm.휴가중카드,"해외가맹점 최대
5% 적립
여행
20% 할인
항공권, 면세점
0.5% 추가적립","국내전용 25,000원 / 해외겸용 25,000원",전월실적 없음
올바른 MYPICK 카드,"전세계음식점(푸드팩)
5% 할인
쇼핑(쇼핑팩)
5% 할인
주유소/충전소(트레블팩)
5% 할인","국내전용 13,000원 / 해외겸용 13,000원",전월실적 40만원 이상
올바른TRAVEL카드(일본특화),"유니버셜스튜디오재팬
10,000원 할인
해외 이용금액
7% 할인
커피
10% 할인","해외겸용 20,000원",전월실적 30만원 이상
NH올원 LGU+카드,"LGU+
~17,000원 할인
커피/베이커리
10% 할인
놀이공원
30~50% 할인","해외겸용 15,000원",전월실적 30만원 이상
나무 NH농협카드,"이용금액 1위
최대 8% 캐시백
나무멤버스
월 이용료 캐시백
국제공항 라운지
무료 이용","국내전용 15,000원 / 해외겸용 15,000원",전월실적 40만원 이상
New후불하이패스카드,"통행료 최대
50% 자동할인","국내전용 2,000원",전월실적 없음
올바른 BAZIC 카드,"일요일
최대1.2% 할인
해외이용
1.0% 할인
국내공항
라운지 무료이용","해외겸용 14,000원",전월실적 40만원 이상
올바른 NEW HAVE+카드,"국내외가맹점
0.7% 적립
이용금액 1위
5배 적립
이용금액 2위
3배 적립","국내전용 23,000원 / 해외겸용 25,000원",전월실적 없음
ME+(미플러스)카드,"전국음식점
7% 할인
전국대중교통
7% 할인
커피전문점
30% 할인","국내전용 23,000원 / 해외겸용 25,000원",전월실적 30만원 이상
SolSol++(쏠쏠투플러스)카드,"주요 12대 생활업종
최대 12% 할인
커피
10% 할인
국내선 동반자
무료 항공권","해외겸용 50,000원",전월실적 30만원 이상
올바른 OIL&PASS,"주유소
5% 할인
교통
7% 할인
커피전문점
2천원 할인","국내전용 13,000원 / 해외겸용 15,000원",전월실적 40만원 이상
위카드,"전가맹점
0.7~1.5% 적립
매년 1회
5~20만원 캐시백
매년 1회
바우처 제공","해외겸용 200,000원",전월실적 없음
zgm.streaming카드,"멤버십 이용요금
7천원 청구 할인
스트리밍 이용요금
50% 청구 할인
스타벅스 사이렌오더
50% 청구 할인","국내전용 12,000원 / 해외겸용 12,000원",전월실적 40만원 이상
후불하이패스카드(비씨),"출퇴근시간
20~50% 할인","해외겸용 2,000원",전월실적 없음
에코마일리지카드(비씨),"에너지절약시
5만점 적립
학원
5% 적립
병원
5% 적립","국내전용 6,000원 / 해외겸용 8,000원",전월실적 30만원 이상
NH올원 LG전자BEST카드,"선포인트/특별할부
최대2만원 할인
커피
10% 할인
베이커리
10% 할인","해외겸용 15,000원",전월실적 30만원 이상
BAZIC(베이직)카드,"국내가맹점
0.7~1.0% 할인
해외가맹점
0.7% 할인","국내전용 8,000원 / 해외겸용 8,000원",전월실적 없음
NH농협 올바른 하나로(Hanaro) 카드,"농협판매장
5% 적립
생활편의업종
3% 적립
병원, 약국
5% 할인","국내전용 13,000원 / 해외겸용15,000원",전월실적 40만원 이상
쇼핑조아카드,"페이결제시
5% 할인
쇼핑
5% 할인
전가맹점
0.5% 기본할인","국내전용 13,000원 / 해외겸용15,000원",전월실적 40만원 이상
국민행복카드(비씨),"어린이집/유치원
5% 할인
병·의원
5% 할인
각종
정부보조금 지원",해외겸용 없음,전월실적 30만원 이상
올바른지구 카드,"대중교통
7% 청구할인
통신비
5% 청구할인
스포츠
5% 청구할인","국내전용 13,000원 / 해외겸용 15,000원",전월실적 40만원 이상
위 테라카드(스카이패스),"1,500원당
최대2마일 적립
주말사용
최대3마일 적립
연 1회
30만원상당 바우처제공","해외겸용 530,000원",전월실적 50만원 이상
올바른 Edu 카드,"학원비
5% 할인
10대업종
0.5~1% 할인
교육비
2천원 할인","해외겸용25,000원",전월실적 40만원 이상
위 테라카드(포인트),"국내외가맹점
최대2% 적립
주말
최대3% 적립
연 1회
30만원상당 바우처제공","해외겸용 495,000원 / 해외겸용 500,000원",전월실적 50만원 이상
LCC UniMile카드,"저비용항공사
3% UniMile적립
국내외가맹점
0.7~1.4% UniMile적립
공항라운지
무료 이용","해외겸용 25,000원",전월실적 30만원 이상
스카이패스카드,"국내가맹점 1,500원당
1마일 기본적립
영화,커피,서적 1,500원당
2마일 더블적립
면세점,항공권 1,500원당
3마일 트리플적립","해외겸용 15,000원",전월실적 없음
ON PLATINUM카드(스카이패스),"1,500원당
1마일리지 적립
분기실적 150만원 이상 시
1천5백마일리지 적립
공항라운지
무료 이용","국내전용 128,000원 / 해외겸용 130,000원",전월실적 없음
올바른 POINT UP+ 카드,"기본
0.7% 적립
최대
1.2% 추가적립
이체수수료
월10회 면제","해외겸용 23,000원",전월실적 40만원 이상
KT수퍼할부카드(비씨),"KT
라이트할부 제공
KT통신요금
9천~1만7천원 할인
커피,베이커리
10% 할인","해외겸용 15,000원",전월실적 30만원 이상
SOHO 다사로이OIL카드,"주유
5% 할인
비즈니스
0.5% 할인
카카오T대리
10% 할인","국내전용 15,000원 / 해외겸용 17,000원",전월실적 50만원 이상
올바른 BAZIC+ 카드,"주말
최대1.4% 할인
해외이용
1% 할인
선택영역
최대2.1% 할인","해외겸용 23,000원",전월실적 40만원 이상
NH올원 Rental&코웨이카드,"쇼핑 최대
3만원 할인
놀이공원
최대 50% 할인","국내전용 10,000원 / 해외겸용 12,000원",전월실적 없음
SOHO 다사로이+카드,"비즈니스
최대5% 할인
커피
30% 할인
해외가맹점
최대2% 할인","국내전용 23,000원 / 해외겸용 25,000원",전월실적 없음
SolSol(쏠쏠)카드,"주요 12대 생활업종
최대 12% 할인
커피
10% 할인
대중교통
5% 할인","해외겸용 10,000원",전월실적 30만원 이상
NH농협 올바른LIFE카드(적립형),"국내외 가맹점
0.5% 기본적립
생활업종
0.3~0.5% 추가적립
해외이용
0.3~0.5% 추가적립","해외겸용 10,000원",전월실적 없음
NH올원 NH투자증권카드,"국내가맹점 최대
0.9% 적립
해외가맹점
0.9% 적립","국내전용 8,000원 / 해외겸용 10,000원",전월실적 없음
ON PLATINUM카드(포인트),"모든가맹점
0.8% 적립
분기실적 150만원 이상 시
2만5천P 적립
공항라운지
무료 이용","국내전용 118,000원 / 해외겸용 120,000원",전월실적 없음
[NH농협] 그린카드v2,"국내가맹점 최대
1% 적립
온라인 쇼핑
5% 적립
버스/지하철 최대
20% 적립","국내전용 10,000원 / 해외겸용 12,000원",전월실적 20만원 이상
위 레아카드(스카이패스),"1,500원당
최대2마일 적립
특별가맹점
2마일 적립
연 1회
20만원상당 바우처제공","해외겸용 330,000원",전월실적 50만원 이상
위 레아카드(포인트),"국내외가맹점
최대2% 적립
특별가맹점
2% 적립
연 1회
20만원상당 바우처제공","해외겸용 295,000원 / 해외겸용 300,000원",전월실적 50만원 이상
올바른OIL카드,"주유소/충전소
100~150원/L 할인
오토오아시스
차량 경정비 현장할인
커피
10% 적립","해외겸용 15,000원",전월실적 30만원 이상
NH농협 콕카드,"농협 판매장
10% 할인
생활 업종
10% 할인
통신요금
10% 할인","해외겸용 10,000원",전월실적 40만원 이상
SOHO 다사로이카드,"비즈니스
최대5% 할인
해외가맹점
최대1.5% 할인
전가맹점
0.5% 할인","국내전용 12,000원 / 해외겸용 12,000원",전월실적 없음
올바른TRAVEL카드(중국특화),"중국 비자 수수료
50% 할인
해외이용금액
7% 할인
커피
10% 할인","해외겸용 20,000원",전월실적 30만원 이상
적립조아카드,"국내이용시
0.5~1.2% 적립
해외이용시
1~1.5% 적립
해외이용시
감사포인트 적립","국내전용 10,000원 / 해외겸용12,000원",전월실적 없음
Shopping Save카드,"쇼핑가맹점
5~10% 적립
통신요금
5% 적립
대중교통
5% 적립","국내전용 6,000원 / 해외겸용 8,000원",전월실적 10만원 이상
올바른HOMETOWN카드,"홈쇼핑
10% 청구할인
병의원/약국
5% 청구할인
보이스피싱 보상보험
무료 가입","국내전용 12,000원 / 해외겸용 12,000원",전월실적 40만원 이상
NH농협 올바른LIFE카드(할인형),"온라인쇼핑
3% 할인
커피전문점
5% 할인
이동통신요금
2천원 할인","해외겸용 10,000원",전월실적 30만원 이상
T라이트카드,"통신료
최대 17,000원 할인
커피
1천원 할인
놀이공원
50% 할인","해외겸용 10,000원",전월실적 40만원 이상
BAZIC+(베이직플러스)카드,"국내외전가맹점
0.7~1.4% 할인
대중교통/통신요금
5% 할인
국내공항라운지
무료 이용","국내전용 23,000원 / 해외겸용 25,000원",전월실적 없음
NH1961카드,"전가맹점
0.7% 적립
언택트라이프영역
최대50% 적립
범농협판매장
0.8% 적립","국내전용 12,000원 / 해외겸용 14,000원",전월실적 없음
NC다이노스카드,"NC다이노스
2.000원 입장료할인
온라인쇼핑
10% 할인
CGV,롯데시네마
30% 할인","국내전용 8,000원 / 해외겸용 10,000원",전월실적 30만원 이상
NH올원+(플러스)카드,"모든가맹점
0.7~0.9% 적립
해외이용액
1.2% 적립","국내전용 23,000원 / 해외겸용 25,000원",전월실적 없음
ON PLATINUM카드(아시아나클럽),"1천원당
1마일리지 적립
분기실적 150만원 이상 시
1천5백마일리지 적립
공항라운지
무료 이용","국내전용 128,000원 / 해외겸용 130,000원",전월실적 없음
zgm.rounding카드,"골프장, 골프연습장
5% 할인
쇼골프연습장
50% 할인
홀인원축하금 연1회
100만원 제공","국내전용 23,000원 / 해외겸용 25,000원",전월실적 30만원 이상
zgm.고향으로카드,"NH포인트(지역)
최대 1.7% 적립
NH포인트(평일)
0.7% 적립
NH포인트(주말)
1.0% 적립","국내전용 12,000원 / 해외겸용 12,000원",전월실적 없음
NH올원카드,"전월실적 상관없이
0.9~0.7% 적립
해외이용액
0.9% 적립
제휴서비스
OK캐쉬백 적립","국내전용 8,000원 / 해외겸용 10,000원",전월실적 없음
올바른SAFE카드,"국내외가맹점
0.7% 무제한적립
대출보유시
6,000 포인트적립
온/오프라인쇼핑
0.5% 추가적립","국내전용 12,000원 / 해외겸용 12,000원",전월실적 없음
할인조아카드,"주유소
60원/L 할인
영화
2천원 할인
놀이공원
연6회 할인","국내전용 13,000원 / 해외겸용15,000원",전월실적 40만원 이상
GS리테일 NH농협카드,"GS리테일 점내
2% 포인트적립
국내 전가맹점
1% 포인트적립
해외 전가맹점
2% 포인트적립","국내전용 12,000원 / 해외겸용 12,000원",전월실적 없음
NH올원 Rental&넥센타이어카드,"넥센타이어 렌탈료
최대3만원 할인
놀이공원
최대 50% 할인","국내전용 10,000원 / 해외겸용 12,000원",전월실적 30만원 이상
NH농협 부자되세요 아파트카드(비씨),"아파트관리비
최대 1만원 할인
쇼핑
최대 1만원 할인
학원
최대 1만원 할인","해외겸용 10,000원",전월실적 40만원 이상
NH올원 Rental&바디프랜드카드,"쇼핑 최대
3만원 할인
놀이공원
최대 50% 할인","국내전용 12,000원 / 해외겸용 14,000원",전월실적 30만원 이상
NH올원 하나로카드,"농협판매장
10% 적립
모든가맹점
0.2% 적립
제휴서비스
OK캐쉬백 적립","국내전용 8,000원 / 해외겸용 10,000원",전월실적 10만원 이상
#ing(샵핑)카드,"주요쇼핑업종
5% 할인
온라인쇼핑
5% 할인
모든해외업종
5% 할인","국내전용 8,000원 / 해외겸용 10,000원",전월실적 30만원 이상
위 레아카드(아시아나클럽),"1,000원당
최대2마일 적립
특별가맹점
2마일 적립
연 1회
20만원상당 바우처제공","해외겸용 330,000원",전월실적 50만원 이상
위 테라카드(아시아나클럽),"1,000원당
최대2마일 적립
주말사용
최대3마일 적립
연 1회
30만원상당 바우처제공","해외겸용 530,000원",전월실적 50만원 이상
NH올원 Direct&DB손해보험카드,"보험료 최대
3만원 할인
주유
5% 할인
외식
3% 할인","국내전용 8,000원 / 해외겸용 10,000원",전월실적 30만원 이상
올바른 GIVE 카드,"기부전용포인트
0.8% 적립
온라인쇼핑
5% 할인
종합건강검진비
2만원 할인","국내전용 23,000원 / 해외겸용 25,000원",전월실적 없음
펫블리(PETvely) 카드,"반려동물관련
7% 적립
온라인오픈마켓
5% 적립
커피전문점
5% 할인","해외겸용 23,000원 / 해외겸용 25,000원",전월실적 30만원 이상
올바른SAFE Platinum카드,"국내외가맹점
0.7% 무제한적립
온/오프라인쇼핑
0.5% 추가적립
대출보유시
6,000 포인트적립","국내전용 100,000원 / 해외겸용 100,000원",전월실적 없음
#ing+(샵핑플러스)카드,"주요쇼핑업종
7% 할인
온라인쇼핑
7% 할인
모든해외업종
7% 할인","국내전용 23,000원 / 해외겸용 25,000원",전월실적 30만원 이상
엘포인트카드(비씨),"롯데쇼핑계열
3% 적립
생활업종
1% 적립
하나로마트
3% 할인","해외겸용 15,000원",전월실적 50만원 이상
NH올원 Shopping&AMOREPACIFIC카드,"뷰티
5~10% 할인
커피
10% 할인
베이커리
5% 할인","국내전용 10,000원 / 해외겸용 12,000원",전월실적 30만원 이상
부자되세요 HomeShopping카드(비씨),"6대 홈쇼핑
6% 할인
커피
10% 할인
영화
3,000원 할인","해외겸용 10,000원",전월실적 20만원 이상
NH20해봄체크카드,"온라인쇼핑몰
5% 할인
배달앱
5% 할인
커피
20% 할인",국내전용 없음 / 해외겸용 없음,전월실적 20만원 이상
라이언 치즈 체크카드,"커피
최대 1% 적립
대중교통
1.5% 적립
유튜브결제
5% 적립",국내전용 없음 / 해외겸용 없음,전월실적 20만원 이상
올바른POINT체크카드,"전 가맹점
0.4~0.2% 적립
해외
0.3% 추가적립
국제공항라운지
무료 이용",해외겸용 없음,전월실적 없음
올리 POINT 체크,"국내외가맹점
0.2% 기본적립
1~2위 이용영역
2~3배 적립
공항라운지
무료 이용",국내전용 없음 / 해외겸용 없음,전월실적 없음
올바른 NEW HAVE체크카드,"국내외가맹점
0.2% 적립
이용금액1위
3배 적립
국제공항라운지
무료 아용",국내전용 없음 / 해외겸용 없음,전월실적 없음
어피치 스윗 체크카드,"온라인 간편결제
3% 할인
카페
4% 할인
넷플릭스
5% 할인",국내전용 없음 / 해외겸용 없음,전월실적 30만원 이상
BAZIC(베이직)체크카드,"국내외 전 가맹점
0.3~0.2% 할인",국내전용 없음 / 해외겸용 없음,전월실적 없음
내일배움체크카드,"주유소
40원/L 할인
서적
10% 할인
커피
10% 할인",국내전용 없음,전월실적 없음
NH농협 올바른 하나로(Hanaro) 체크카드,"전 가맹점
0.2% 기본적립
농협판매장
0.5~1% 추가적립
공항라운지
무료 이용",국내전용 없음 / 해외겸용 없음,전월실적 없음
올바른GLOBAL체크카드,"해외구매시
2% 캐시백
국제공항라운지
무료 이용
10대업종
1.0~0.5% 캐시백",해외겸용 없음,전월실적 20만원 이상
GS리테일 NH농협체크카드,"GS리테일 점내
2% GS포인트 적립
국내가맹점
0.2% NH포인트 적립
국외가맹점
1% NH포인트 적립",국내전용 없음 / 해외겸용 없음,전월실적 없음
NEW농촌사랑체크카드,"NH포인트
최대0.5% 적립
GS칼텍스
40원/L 할인
놀이공원
연6회 할인",해외겸용 없음,전월실적 20만원 이상
NH올원체크카드,"실적관계없이
0.4~0.2% 적립
해외이용액
0.4% 적립
OK캐시백
포인트 적립",해외겸용 없음,전월실적 없음
Global체크카드,"어학원
10~5% 할인
어학시험
10~5% 할인
전세계 스타벅스
30~20% 할인",해외겸용 없음,전월실적 10만원 이상
Air Money(에어머니)체크,"국내/해외가맹점
0.2% 에어머니적립
3개월연속 30만원이상 이용시
0.2% 추가적립",국내전용 없음 / 해외겸용 없음,전월실적 없음
NC다이노스체크카드,"NC다이노스 입장권
2,000원 할인
온라인쇼핑
5% 할인
커피
10% 할인",해외겸용 없음,전월실적 30만원 이상
국민행복체크카드(비씨),"병/의원
3% 할인
온라인쇼핑
3% 할인
커피
10% 할인",해외겸용 없음,전월실적 30만원 이상
농부의마음 Farmers Heart 체크카드,"일상생활영역
1% 적립
농협계통업종
1% 적립
농업관련업종
1% 적립",국내전용 없음 / 해외겸용 없음,전월실적 없음
NH올원 NH투자증권체크카드,"국내가맹점 최대
0.4% 적립
해외가맹점
0.4% 적립",해외겸용 없음,전월실적 없음
#ing(샵핑) 체크카드,"백화점/대형마트
3% 할인
온라인쇼핑
3% 할인
해외이용
3% 할인",해외겸용 없음,전월실적 20만원 이상
GOODGAME 체크카드,"앱마켓
10% 할인
스팀(Steam)
10% 할인
PC방
10% 할인",국내전용 없음 / 해외겸용 없음,전월실적 20만원 이상
콕체크카드,"국내외 전 가맹점
최대 0.5% 적립
에코머니
최대 5% 적립",해외겸용 없음,전월실적 없음
NH1934 체크카드,"국내외가맹점
0.2% 할인
주말 국내가맹점
0.3% 할인",국내전용 없음 / 해외겸용 없음,전월실적 50만원 이상
jumjum(점점) 체크카드(비씨),"국내외 전 가맹점
0.4~0.2% 적립",해외겸용 없음,전월실적 없음
체크카드,"농협판매장
5% 적립
주유소
40원/L 할인
영화
10% 할인",국내전용 없음 / 해외겸용 없음,전월실적 20만원 이상
아이행복체크카드(비씨),"온라인쇼핑
5~3% 할인
병원
3% 할인
커피
5% 할인",해외겸용 없음,전월실적 20만원 이상
마일앤조이카드(대한항공),"1,500원당
3~1마일 적립
KTX, SRT
10% 할인
공항라운지
연 2회 무료","해외겸용 30,000원",전월실적 없음
BLISS.7 카드(마일리지),"1,500원당
1마일 적립
1,500원당 최대
2마일 특별적립
바우처
20만원상당 제공","해외겸용 200,000원",전월실적 없음
IBK 무직타이거 카드(신용),"버스,지하철
건당 200원 할인
주유소/충전소
60원/L 할인
온라인쇼핑
20% 할인","국내전용 10,000원 / 해외겸용 12,000원",전월실적 50만원 이상
마일앤조이카드(아시아나),"1,000원당
3~1마일 적립
KTX, SRT
10% 할인
공항라운지
연 2회 무료","해외겸용 30,000원",전월실적 없음
BLISS.5 카드(마일리지),"1,500원당
1마일 적립
바우처 최대
10만원 제공
영화
2천원 할인","해외겸용 95,000원",전월실적 30만원 이상
Daily With(데일리위드)카드,"6대생활영역
1% 기본캐시백
최다이용영역
1% 추가캐시백","국내전용 10,000원 / 해외겸용 12,000원",전월실적 50만원 이상
Oil & Life카드(Oil카드),"GS칼텍스(LPG포함)
120원/L 할인
CGV, 롯데시네마
2,000원 현장할인
주요 놀이공원
50% 할인","해외겸용 5,000원",전월실적 30만원 이상
ONE AIR(UniMile),"1,500원당
10~30마일 적립
공항라운지
연 2회 무료
스타벅스
2천원 할인","국내전용 10,000원 / 국내외겸용 10,000원",전월실적 30만원 이상
일상의 기쁨카드(신용),"대중교통
200원 할인
영화
10,000원 할인
커피전문점
20% 할인","해외겸용 10,000원",전월실적 50만원 이상
BLISS.7 카드(포인트),"1,500원당
15P 적립
1,500원당 최대
20P 특별적립
바우처
20만원상당 제공","해외겸용 190,000원",전월실적 없음
IBK무민카드(신용),"주요 커피전문점
20% 할인
쿠팡, 티몬, 위메프
20% 할인
편의점
10% 할인","국내전용 10,000원 / 해외겸용 10,000원",전월실적 50만원 이상
IBK-Hybrid(하이브리드)카드,"전월실적 관계없이
신용 0.6% 캐시백
국내외 가맹점
체크 0.3% 캐시백
하이브리드 서비스
체크+신용 결제서비스","해외겸용 10,000원",전월실적 없음
