카드이름,카드혜택,연회비,전월실적
BLISS.5 카드(포인트),"1,500원당
10P 적립
바우처 최대
10만원 제공
영화
2천원 할인","해외겸용 95,000원",전월실적 30만원 이상
일년의 설렘카드,"정액캐시백
최대 70만원 지급
전자금융
이체수수료 면제
놀이공원
할인","해외겸용 10,000원",전월실적 50만원 이상
CEO카드,"Air Money 포인트
최대 2% 적립
바우처 서비스
연 1회 제공
전세계 공항라운지
무료 이용","해외겸용 220,000원",전월실적 70만원 이상
Oil & Life카드(Life카드),"전국 음식점
10% 할인
커피전문점
10% 할인
GS칼텍스(LPG포함)
60원/L 할인","해외겸용 5,000원",전월실적 40만원 이상
I-ALL,"국내·외 가맹점
0.5% 할인
홈쇼핑, 배달앱, 대형마트
최대 1.5% 할인
OTT, 온라인멤버십
최대 7% 할인","국내전용 14,000원 / 해외겸용 15,000원",전월실적 없음
[IBK] 그린카드v2,"국내가맹점 최대
1% 적립
버스,지하철 최대
20% 적립
온라인업종
5% 적립","해외겸용 10,000원 / 해외겸용 12,000원",전월실적 20만원 이상
참! 좋은 다이소카드(신용),"다이소
30% 할인
드럭스토어/헤어
10~20% 할인
편의점/커피
10~20% 할인","해외겸용 10,000원",전월실적 30만원 이상
제주항공 Refresh Point 카드,"1,000원당
10~30P 적립
국내공항
라운지 무료이용","해외겸용 20,000원",전월실적 없음
참! 좋은 kt wiz 카드(신용),"국내가맹점
0.2~0.4% 적립
kt wiz
입장권/야구용품 할인
마트/외식/쇼핑 등
5~20% 할인","해외겸용 2,000원",전월실적 없음
IBK hi 카드,"지하철, 버스 최대
300원 할인
아웃백, 빕스
10% 할인
GS주유소(LPG포함)
40원/L 할인","국내전용 2,000원 / 해외겸용 4,000원",전월실적 20만원 이상
자연드림 IBK카드,"주유소(LPG포함)
60원/L 할인
소셜커머스
20% 할인
영화관
8천원 할인","해외겸용 2,000원 / 해외겸용 5,000원",전월실적 없음
국민행복카드(신용),"어린이집/유치원/학원
5% 할인
커피전문점
20% 할인
병/의원, 산후조리원
5% 할인",국내전용 없음,전월실적 30만원 이상
쇼핑앤조이 카드,"버스, 지하철, 택시
5% 할인
온라인쇼핑
5,000원 할인
스타벅스
2,000원 할인","해외겸용 10,000원",전월실적 30만원 이상
EV카드,"국내외이용금액
0.3% 적립
대중교통
0.5% 적립
주유소/전기차충전
0.5% 할인","국내전용 9,000원 / 해외겸용 10,000원",전월실적 30만원 이상
IBK DC히어로즈 카드(신용),"음식점
1% 캐시백
병원비
1% 캐시백
이용금액 최다영역
1% 추가캐시백","국내전용 10,000원 / 해외겸용 12,000원",전월실적 50만원 이상
일년의 설렘카드(모바일전용),"연간 이용금액에 따라
최대 70만원 캐시백
놀이공원 최대
50% 할인","국내전용 5,000원 / 해외겸용 5,000원",전월실적 없음
olleh Super DC IBK카드,"KT 통신요금
15,000~7,000원 할인
모든 주유소/충전소
60원/L 할인
패밀리레스토랑
10% 할인","해외겸용 10,000원",전월실적 30만원 이상
용인시민카드(신용),"용인 주요 테마파크
최대60% 할인
대형마트
5% 할인
온라인쇼핑
20% 할인","국내전용 5,000원 / 해외겸용 7,000원",전월실적 30만원 이상
IBK-Syrup카드[신용],"모바일쿠폰 최대
4만원 지급
Syrup(시럽)
멤버십서비스 제공","해외겸용 5,000원 / 해외겸용 7,000원",전월실적 30만원 이상
skylife Ultra IBK카드,"skylife서비스 최대
1만원 할인
마트, 대형할인점
5% 할인
놀이공원 최대
50% 할인","국내전용 10,000원 / 해외겸용 10,000원",전월실적 30만원 이상
아모레퍼시픽 IBK카드,"아모레퍼시픽
10% 할인
영화
1만원 할인
커피전문점
20% 할인","해외겸용 10,000원",전월실적 50만원 이상
IBK무민카드(체크),"대중교통
건당100원 할인
온라인쇼핑
10% 할인
커피전문점
10% 할인",국내전용 없음 / 해외겸용 없음,전월실적 30만원 이상
IBK 나라사랑카드,"대중교통
10% 할인
철도/고속버스
5% 할인
CU
5% 현장할인",국내전용 없음,전월실적 8만원 이상
IBK 무직타이거 카드(체크),"버스,지하철
건당 100원 할인
온라인쇼핑
10% 할인
편의점
5% 할인",국내전용 없음 / 해외겸용 없음,전월실적 30만원 이상
이지캐시백,"전 가맹점
0.2% 캐시백
점심/저녁시간
3배 캐시백",국내전용 없음 / 해외겸용 없음,전월실적 없음
참! 좋은 글로벌 체크카드,"해외가맹점
1.5% 캐시백
국내가맹점
0.1% 캐시백","국내전용 없음 / 해외겸용 3,000원",전월실적 없음
IBK DC히어로즈 카드(체크),"국내·해외 전가맹점
0.2% 캐시백
점심·저녁시간
3배 캐시백
전자금융·ATM 출금 및 이체
수수료 면제",국내전용 없음 / 해외겸용없음,전월실적 없음
일상의 기쁨카드(체크),"버스/지하철
건당 100원 할인
편의점
5% 할인
영화
4,000원 할인",해외겸용 없음,전월실적 30만원 이상
참! 좋은 다이소카드(체크),"다이소
20% 할인
편의점/드럭스토어
5% 할인
소셜커머스
10% 할인",해외겸용 없음,전월실적 20만원 이상
하이틴즈 체크카드,"편의점
500원 할인
패스트푸드
500원 할인
독서실
1천원 할인",국내전용 없음,전월실적 10만원 이상
일상의 기쁨 Dream 체크카드,"버스,지하철 건당
100원 할인
편의점
5% 할인
커피
10% 할인",해외겸용 없음,전월실적 30만원 이상
참! 좋은 kt wiz 카드[체크],"소셜커머스
20% 할인
영화
4천원 할인
커피전문점
20% 할인","해외겸용 3,000원",전월실적 20만원 이상
카카오페이 체크카드,"카카오페이 가맹점
15% 할인
온라인쇼핑
10% 할인
편의점/드럭스토어
5% 할인",국내전용 없음,전월실적 20만원 이상
IBK 국민행복 체크카드,"어린이집/유치원
3% 할인
병/의원
3% 할인
커피
10% 할인",국내전용 없음,전월실적 20만원 이상
이사배 카드,"드럭스토어
2천원 할인
화장품업종
2천원 할인
미용실
2천원 할인",국내전용 없음 / 해외겸용 없음,전월실적 30만원 이상
IBK-Syrup카드[체크],"모바일쿠폰 최대
2만원 지급
Syrup(시럽)
멤버십서비스 제공",해외겸용 없음,전월실적 30만원 이상
현대카드 M BOOST,"업종별
0.5~3% 기본적립
온라인 간편결제
5% 적립
해외가맹점
5% 적립","국내전용 30,000원 / 해외겸용30,000원",전월실적 50만원 이상
현대카드ZERO Edition2(할인형),"모든가맹점
0.7% 할인
생활필수영역
1.5% 할인","국내전용 10,000원 / 해외겸용 10,000원",전월실적 없음
네이버 현대카드,"네이버플러스멤버십
무료 이용권
네이버플러스멤버십 회원
5% 적립
그외가맹점
1% 적립","국내전용 10,000원 / 해외겸용 10,000원",전월실적 30만원 이상
the Green Edition2,"바우처
10만원 제공
공항라운지
무료 이용
M포인트 최대
2% 적립","국내전용 150,000원 / 해외겸용 150,000원",전월실적 50만원 이상
American Express® Gold Card,"매년 연간스페셜
3만MR 적립(30만원 상당)
공항라운지/발레파킹
무료 이용
1,000원당 최대
3MR 적립","해외겸용 300,000원",전월실적 없음
대한항공카드 030,"국내외가맹점
1마일리지 적립
특정업종
2마일리지 적립
웰컴보너스
3천마일리지 적립","국내전용 30,000원 / 해외겸용 30,000원",전월실적 없음
the Red Edition5,"바우처 최대
20만원 제공
공항라운지
무료 이용
M포인트 최대
2% 적립","국내전용 300,000원 / 해외겸용 300,000원",전월실적 50만원 이상
현대카드 X BOOST,"모든가맹점
1~1.5% 기본할인
온라인 간편결제
5% 할인
해외가맹점
5% 할인","국내전용 30,000원 / 해외겸용30,000원",전월실적 50만원 이상
현대카드Z family,"온라인쇼핑
10% 할인
배달앱
10% 할인
주유소
100원/L 할인","국내전용 10,000원 / 해외겸용 10,000원",전월실적 40만원 이상
현대카드 M3 BOOST,"업종별 최대
6% 적립
온라인 간편결제
5% 적립
해외가맹점
5% 적립","국내전용 90,000원 / 해외겸용90,000원",전월실적 50만원 이상
현대카드ZERO Edition2(포인트형),"국내외 가맹점
1% 기본적립
생활필수영역
2.5% 적립","국내전용 10,000원 / 해외겸용 10,000원",전월실적 없음
the Pink,"국내외가맹점 최대
2% 적립
프리미엄쇼핑
5% 적립
웰컴바우처
10만원 제공","국내전용 150,000원 / 해외겸용150,000원",전월실적 50만원 이상
대한항공카드 150,"국내외가맹점
1마일리지 적립
특정업종
2~3마일리지 적립
항공권바우처
5만원상당 제공","국내전용 150,000원 / 해외겸용 150,000원",전월실적 없음
the Purple osée,"호텔&여행&쇼핑바우처
최대4매 제공
마일리지or포인트
선택형 서비스
공항라운지
무료 이용","국내전용 800,000원 / 해외겸용 800,000원",전월실적 없음
현대카드 M2 BOOST,"업종별
0.5~3% 기본적립
온라인 간편결제
5% 적립
해외가맹점
5% 적립","국내전용 60,000원 / 해외겸용60,000원",전월실적 50만원 이상
현대카드 MX Black,"온라인쇼핑
10% 할인
배달앱
10% 할인
모든가맹점
1% 적립","국내전용 150,000원 / 해외겸용 150,000원",전월실적 50만원 이상
American Express The Platinum Card®,"매년 연간스페셜
10만MR 적립(100만원 상당)
공항라운지/발레파킹
무료 이용
1천원당 최대
4.5MR 적립","해외겸용 1,000,000원",전월실적 없음
현대카드Z ontact,"온라인쇼핑 멤버십
70% 할인
스마트오더
50% 할인
디지털 콘텐츠
30% 할인","국내전용 10,000원 / 해외겸용 10,000원",전월실적 40만원 이상
대한항공카드 070,"국내외가맹점
1마일리지 적립
특정업종
2마일리지 적립
웰컴보너스
5천마일리지 적립","국내전용 70,000원 / 해외겸용 70,000원",전월실적 없음
대한항공카드 the First,"국내외가맹점
1마일리지 적립
특정업종
3~5마일리지 적립
힝공권바우처
5만원상당 제공(연2회)","국내전용 500,000원 / 해외겸용 500,000원",전월실적 없음
현대카드ZERO(할인형),"모든가맹점
0.7% 할인
생활필수영역
+0.5% 추가할인
선결제 시
+0.3% 추가할인","국내전용 5,000원 / 해외겸용 5,000원",전월실적 없음
현대카드Z work,"커피전문점
50% 할인
편의점
10% 할인
온라인 간편결제
10% 할인","국내전용 10,000원 / 해외겸용 10,000원",전월실적 40만원 이상
the Red Stripe,"바우처
최대 70만원 제공
M포인트 또는 마일리지
선택 적립
10만원 상당
로열티 보너스 제공","국내전용 500,000원 / 해외겸용 500,000원",전월실적 50만원 이상
American Express® Green Card,"매년 연간스페셜
1만MR 적립(10만원상당)
다이닝 연 최대
6만원 할인
1,500원당 최대
3MR 적립","해외겸용 100,000원",전월실적 없음
현대카드ZERO MOBILE Edition2(포인트형),"국내외 가맹점
1% 기본적립
모바일 필수 영역
2.5% 적립","국내전용 10,000원 / 해외겸용 10,000원",전월실적 없음
코스트코 리워드 현대카드,"코스트코 매장,온라인몰
1~3% 적립
영화,편의점,교통
1~2% 적립
그 외 가맹점
1% 적립","국내전용 10,000원 / 해외겸용 10,000원",전월실적 없음
the Green,"여행,고메,해외쇼핑
5% 특별적립
바우처
10만원권 제공
연간보너스
5만포인트 적립","국내전용 145,000원 / 해외겸용 150,000원",전월실적 50만원 이상
스타벅스 현대카드,"3만원 이용 시마다
스타벅스 별 적립
VISA/Master
플래티넘 서비스","국내전용 30,000원 / 해외겸용 30,000원",전월실적 30만원 이상
현대카드ZERO MOBILE Edition2(할인형),"국내외가맹점
0.7% 할인
모바일 필수 영역
1.5% 할인","국내전용 10,000원 / 해외겸용 10,000원",전월실적 없음
배민현대카드,"배달의민족
3% 적립
온라인쇼핑
2% 적립
디지털콘텐츠
2% 적립","국내전용 10,000원 / 해외겸용 10,000원",전월실적 30만원 이상
이마트 e카드 Edition2,"이마트 7대 가맹점 최대
5% 적립
생활편의영역 최대
5% 적립
그 외 모든 가맹점 최대
0.5% 적립","국내전용 20,000원 / 해외겸용 20,000원",전월실적 없음
NOL 카드,"NOL포인트
10% 적립
해외결제
10% 적립
커피·편의점·쇼핑
10% 적립","국내전용 20,000원 / 해외겸용 20,000원",전월실적 40만원 이상
SKT-현대카드M Edition3(라이트할부형2.0),"SKT라이트할부 최대
2만5천원 할인
국내외가맹점 최대
3% 적립
신차 구매 시
1.5% 적립","국내전용 20,000원 / 해외겸용 20,000원",전월실적 50만원 이상
에너지플러스카드 Edition2,"GS칼텍스 이용금액
최대15% 할인
Mobility업종 이용금액
5% 할인","국내전용 10,000원 / 해외겸용 10,000원",전월실적 30만원 이상
SmileCard Edition2,"스마일페이 가맹점/해외
2% 적립
해외가맹점
2% 적립
그 외 가맹점
1% 적립","국내전용 10,000원 / 해외겸용 10,000원",전월실적 없음
SSG.COM 카드 Edition2,"SSG.COM
7% 적립
모든 가맹점
0.5% 적립
스마일클럽
정기결제 금액지원","국내전용 10,000원 / 해외겸용 10,000원",전월실적 30만원 이상
무신사 현대카드,"무신사 및 솔드아웃
5% 할인
그외가맹점 무신사적립금
1% 적립","국내전용 10,000원 / 해외겸용 10,000원",전월실적 30만원 이상
현대카드 MY BUSINESS ZERO Retail&Service,"모든가맹점
0.7% 할인
사업성경비
1.5% 할인
통신요금
1.5% 할인","국내전용 30,000원 / 해외겸용 30,000원",전월실적 없음
Kia Members 경차전용카드(유류세 환급),"경차
유류세 환급
주유소, 충전소
100~400원/L 할인
국내가맹점
0.5% 적립",국내전용 없음,전월실적 없음
미래에셋 현대카드 Diamond,"스탁마일리지
5% 특별적립
바우처 제공
30만원 상당
공항라운지
연 10회 무료","국내전용 500,000원 / 해외겸용 500,000원",전월실적 50만원 이상
미래에셋 현대카드 Gold,"스탁마일리지
3% 특별적립
바우처 제공
10만원 상당
공항 라운지
연 2회 무료","국내전용 150,000원 / 해외겸용 150,000원",전월실적 50만원 이상
현대카드 X3 BOOST,"모든가맹점
1~1.5% 기본할인
온라인 간편결제
5% 할인
보너스
1만원 캐시백","국내전용 90,000원 / 해외겸용90,000원",전월실적 50만원 이상
현대카드ZERO(포인트형),"국내외 가맹점
1% 기본적립
6대 생활필수영역
+1% 추가적립
선결제 시
+0.5% 추가적립","국내전용 5,000원 / 해외겸용 5,000원",전월실적 없음
Hyundai Mobility(모빌리티) 카드,"차량유지관리 업종
3% 적립
대중교통, 쏘카, 타다
2% 적립
그외 일반가맹점
1% 적립","국내전용 30,000원 / 해외겸용 30,000원",전월실적 50만원 이상
현대카드M-경차전용카드(유류세 환급),"경차
유류세환급 혜택
현대오일뱅크/SK에너지
200원·400원/L 할인
국내 가맹점
0.5% 적립",국내전용 없음,전월실적 30만원 이상
Kia Members 신용카드 Edition2,"신차 구매 시
1.5% M포인트 적립
당월 이용금액에 따라
최대 1% M포인트 적립
KIA Members 제휴처
최대 2% 기아멤버스 포인트 적립","국내 30,000원 / 해외겸용 30,000원",전월실적 없음
the Purple Edition2,"여행&쇼핑 바우처
연 1회 제공
마일리지or포인트
선택형 서비스
본인회원
PP카드 제공","국내전용 795,000원 / 해외겸용 800,000원",전월실적 없음
넥슨 현대카드,"국내외 가맹점
0.5% 포인트 적립
국내외 가맹점
1.5% 포인트 추가 적립","국내전용 10,000원 / 해외겸용 10,000원",전월실적 없음
SSG.COM카드,"SSG.COM
2~4% 적립
생활편의영역
3~5% 적립
그 외 가맹점
0.5% 적립","국내전용 20,000원 / 해외겸용 20,000원",전월실적 30만원 이상
캐롯손해보험-현대카드M Edition3,"캐롯손해보험료 납부 시
최대 24,000원 할인
업종별
0.5~3% 적립
현대,기아차 구매 시
1.5% 특별적립","국내 30,000원 / 해외겸용 30,000원",전월실적 50만원 이상
SmileCard the Club,"스마일배송 가맹점
3% 적립
스마일페이가맹점/해외
2% 적립
그 외 가맹점
1% 적립","국내전용 50,000원 / 해외겸용 50,000원",전월실적 없음
Hyundai Mobility(모빌리티) Platinum,"차량유지관리 업종 최대
4.5% 적립
대중교통/쏘카/타다 최대
3% 적립
그외 가맹점 최대
1.5% 적립","국내전용 70,000원 / 해외겸용 70,000원",전월실적 50만원 이상
the Red Edition3,"업종별
0.5~2% 적립
이용금액에 따라
0.75~4% 적립
50만원상당
바우처 제공","국내전용 295,000원 / 해외겸용 300,000원",전월실적 없음
the Red Edition4,"50만원이상이용
기본1% 적립
200만원이상이용
기본X2배 적립
바우처
20만원상당 제공","국내전용 300,000원 / 해외겸용 300,000원",전월실적 50만원 이상
현대카드 DIGITAL LOVER,"디지털스트리밍
1만원 할인
간편결제
5% 할인","국내전용 20,000원 / 해외겸용 20,000원",전월실적 50만원 이상
현대카드 X2 BOOST,"모든가맹점
1~1.5% 기본할인
온라인 간편결제
5% 할인
해외가맹점
5% 할인","국내전용 60,000원 / 해외겸용60,000원",전월실적 50만원 이상
넥슨 현대카드UNLIMITED,"국내외 가맹점
최대 3% 포인트 적립
넥슨 현대카드 포인트
연간 6만 바우처 제공
PC방 결제 시
최대 3천원 청구 할인","국내전용 150,000원 / 해외겸용 150,000원",전월실적 없음
현대카드ZERO MOBILE(포인트형),"국내외 가맹점
1% 기본적립
6대 온라인쇼핑
+1.5% 추가적립
선결제 시
+0.5% 추가적립","국내전용 5,000원 / 해외겸용 5,000원",전월실적 없음
인플카 현대카드,"인플카 현대카드 보유 시
인플카 앱 서비스 이용 가능
배달앱 이용 금액
10% M포인트 적립
편의점 이용 금액
10% M포인트 적립","국내전용 10,000원 / 해외겸용 10,000원",전월실적 40만원 이상
Kia Members 경차전용카드,"주유 및 충전 시, 리터당
100~400원 청구할인
현대해상 자동차 보험료
3만원 청구할인
국내 가맹점
0.5% 적립","국내전용 5,000원",전월실적 없음
현대카드 MY BUSINESS ZERO Food&Drink,"모든가맹점
0.7% 할인
사업성경비
1.5% 할인
대형마트/슈퍼마켓
1.5% 할인","국내전용 30,000원 / 해외겸용 30,000원",전월실적 없음
쏘카카드,"쏘카 앱 최대
3% 적립
대중교통 최대
3% 적립
일반가맹점 최대
3% 적립","국내전용 10,000원 / 해외겸용 10,000원",전월실적 30만원 이상
코스트코 리워드 비즈니스 현대카드,"코스트코 리워드 포인트
1~3% 적립
생활편의영역
1~2% 적립
그 외 가맹점
1% 적립","국내전용 10,000원 / 해외겸용 10,000원",전월실적 없음
현대카드ZERO MOBILE(할인형),"국내외가맹점
0.7% 할인
6대온라인쇼핑
+0.8% 추가할인
선결제 시
+0.3% 추가할인","국내전용 5,000원 / 해외겸용 5,000원",전월실적 없음
현대카드 MY BUSINESS ZERO Online Seller,"모든가맹점
0.7% 할인
사업성경비
1.5% 할인
온라인쇼핑
1.5% 할인","국내전용 30,000원 / 해외겸용 30,000원",전월실적 없음
PlayStation® - 현대카드M,"PlayStation®Plus
정기구독서비스 캐시백
게임 콘텐츠 결제 시 최대
1만 5천원 청구할인
모든가맹점
0.2% 기본적립","국내전용 20,000원 / 해외겸용 20,000원",전월실적 없음
Kia Members 전기차 신용카드,"신차 구매 시
1.5% M포인트 적립
당월 이용금액
0.5% M포인트 적립
전기차 충전 최대
70% 할인","국내 30,000원 / 해외겸용 30,000원",전월실적 50만원 이상
미래에셋 현대카드 Silver,"스탁마일리지
2% 특별 적립
스탁마일리지
1% 기본적립","국내전용 30,000원 / 해외겸용 30,000원",전월실적 50만원 이상
산림조합-현대카드M(청구할인형),"산림조합 납부금액
최대 17,000원 할인
국내외 전 가맹점
0.2% 적립
현대,기아차 구매 시
1.5% 특별적립","국내 10,000원 / 해외겸용 10,000원",전월실적 없음
Hyundai Mobilty카드(상용차),"우대 주유소
25~85 포인트 적립
일반 가맹점
0.2% 포인트 적립
신차 구매 시
1.5% 포인트 적립","국내전용 30,000원 / 해외겸용30,000원",전월실적 30만원 이상
현대카드M CHECK,"이용금액별
1~0.5% 적립","국내전용 2,000원",전월실적 없음
현대카드M HYBRID,"이용금액별
1~0.5% 적립",국내전용 없음,전월실적 없음
현대카드X CHECK,"사용금액별
0.6~0.3% 적립","국내전용 2,000원",전월실적 없음
SC제일은행-현대카드 M CHECK,"월 100만원 미만 이용 시
0.5% M포인트 적립
월 100만원 이상 이용 시
1% M포인트 적립
전국 CD·ATM
현금 인출 가능",국내전용 없음 / 해외겸용 없음,전월실적 없음
현대카드X HYBRID,"이용금액별
0.6~0.3% 적립",국내전용 없음,전월실적 없음
SC제일은행-현대카드 X CHECK,"월 100만원 미만 이용 시
0.3% X캐시백 적립
월 100만원 이상 이용 시
0.6% X캐시백 적립
전국 CD·ATM
현금 인출 가능",국내전용 없음 / 해외겸용 없음,전월실적 없음
인플카 현대카드 CHECK,"배달앱
1% 적립
편의점
1% 적립
통신요금 자동이체
1% 적립","국내전용 5,000원",전월실적 없음
현대카드M CHECK-경차전용카드(유류세 환급),"국내 가맹점
최대 1% M포인트 적립
경차 유류세
환급",없음,전월실적 없음
始發(시발)카드,"배달앱 최대
1,800원 할인
편의점 최대
1,800원 할인
실적/한도없이
0.7% 할인","국내전용 5,000원 / 해외겸용 8,000원",전월실적 없음
BC 바로 클리어 플러스,"점심식사/배달앱
7% 할인
온라인쇼핑
10% 할인
휴대폰요금/스트리밍
10% 할인","국내전용 5,000원 / 해외겸용 5,000원",전월실적 15만원 이상
BC 바로 페이백 플러스,"전 가맹점
0.7% 기본 할인
온라인쇼핑
6.3% 추가 할인
음식점
6.3% 추가 할인","국내전용 15,000원 / 해외겸용 15,000원",전월실적 40만원 이상
BC 바로 리워드 플러스,"영화/구독서비스
30% 적립
쇼핑
5% 적립
주유소/핸드폰요금
5% 적립","국내전용 10,000원 / 해외겸용 10,000원",전월실적 30만원 이상
밸런스 카드,"스타벅스 사이렌오더
50% 할인
배달어플
10% 할인
골프
7% 할인","국내전용 10,000원 / 해외겸용 12,000원",전월실적 40만원 이상
BC 바로 에어 플러스,"1천원당
1마일리지 적립
1백만원당
200마일리지 적립","국내전용 19,000원 / 해외겸용 19,000원",전월실적 없음
신세계 BC 바로 콰트로 플러스,"쇼핑
5% 할인
교통
4% 할인
온라인몰
7% 할인","국내전용 5,000원 / 해외겸용 5,000원",전월실적 30만원 이상
신세계 BC 바로 SEVEN FLEX,"신세계백화점
7% 할인
간편결제
7% 할인
카페
7% 할인","국내전용 20,000원 / 해외겸용 20,000원",전월실적 30만원 이상
컬리카드,"컬리 적립금
5% 적립
해외 가맹점
2% 적립
국내 가맹점
1% 적립","국내전용 12,000원 / 해외겸용 12,000원",전월실적 없음
K-FIRST (모바일전용),"전 가맹점
1% 할인
대중교통/편의점/커피
0.5% 추가할인
페이북 쇼핑
5% 할인","해외겸용 5,000원",전월실적 없음
kt SUPER 카드,"KT통신요금 최대
18,000원 할인
SK 주유소
1% 할인","국내전용 25,000원 / 해외겸용 27,000원",전월실적 30만원 이상
부자되세요 The Oil 카드,"주유
150원/L 할인
백화점·대형마트
5% 할인
패밀리레스토랑
20% 할인","해외겸용 5,000원",전월실적 30만원 이상
신세계 BC 바로 리워드 플러스,"페이북머니
최대 1.5% 기본 적립
페이북머니
최대 30% 특별 적립
국내 전 가맹점
2~3개월 무이자 할부","국내전용 10,000원 / 해외겸용 10,000원",전월실적 30만원 이상
신세계 BC 바로 클리어 플러스,"점심식사
5% 할인
신세계백화점
7% 할인
신세계백화점
제휴 서비스 제공","국내전용 5,000원 / 해외겸용 5,000원",전월실적 20만원 이상
부자되세요 덤카드,"국내외 가맹점
0.8% 청구할인
생활 편의 업종
0.5% 추가 청구할인
실적 조건 없이
최대 5천원 할인","국내전용 10,000원 / 해외겸용 12,000원",전월실적 없음
블랙핑크 카드,"음반/티켓
10% 할인
편의점/백화점
10% 할인
대중교통/배달앱
10% 할인","국내전용 10,000원 / 해외겸용 12,000원",전월실적 30만원 이상
kt SUPER+ 카드,"KT통신요금 최대
25,000원 할인
SK 주유소
1% 할인","국내전용 15,000원 / 해외겸용 17,000원",전월실적 50만원 이상
쇼핑& 카드,"온라인
7% 청구할인
라이프
7% 청구할인","국내전용 10,000원",전월실적 30만원 이상
로스트아크 카드,"로스트아크 크리스탈
10% 할인
국내온라인가맹점
1.5% 할인
국내외가맹점
0.5% 할인","국내전용 10,000원 / 해외겸용 12,000원",전월실적 없음
신세계 푸빌라 BC바로카드,"국내가맹점
0.7% 할인
해외가맹점
1.7% 할인
신세계백화점/SSGPAY
1.7% 할인","국내전용 10,000원 / 해외겸용 12,000원",전월실적 없음
신세계 BC 바로 아시아나 플러스,"아시아나 1,000원당
최대 2.0마일 적립
신세계백화점
제휴 서비스 제공
Visa
Platinum 서비스 제공","국내전용 10,000원 / 해외겸용 10,000원",전월실적 50만원 이상
부자되세요 홈쇼핑카드,"6대 홈쇼핑
6% 할인
커피
20% 청구할인","해외겸용 5,000원",전월실적 20만원 이상
UPTURN카드,"KT이동통신요금
14,000원 할인
온라인·모바일 쇼핑
5% 할인
주유
60원/L 할인","해외겸용 7,000원",전월실적 30만원 이상
키자니아 에듀카드,"학원·유치원
10% 할인
주유
60원/L 할인
키자니아
무료 입장권","국내전용 12,000원 / 해외겸용 15,000원",전월실적 30만원 이상
&POP 카드,"GS가맹점
최대 3% GS&POINT 적립
국내 전 가맹점
0.7% GS&POINT 적립
GS POP
서비스 제공","국내전용 5,000원 / 해외겸용 5,000원",전월실적 없음
밥바라밥 페이북머니 체크카드,"커피/점심/간식
페이북머니 8% 적립
국내 가맹점 이용금액
0.1% 기부기금 적립",국내전용 없음,전월실적 없음
페이북 머니 체크카드,"전월실적 없이
최대 1만원 페이북 머니 적립
페이북 결제시
1% 페이북 머니 적립
일반가맹점 결제시
0.2% 페이북 머니 적립",국내전용 없음,전월실적 없음
